,Brand,Model,Selling_Price,Year,Seller_Type,Owner,KM_Driven,Ex_Showroom_Price
196,Honda,Honda Activa 5G,42000,2018,Individual,1st owner,22000,57557.0
197,Honda,Honda Activa 5G,46000,2018,Individual,1st owner,10000,57557.0
198,Honda,Honda Activa 5G,50000,2018,Individual,1st owner,25000,57957.0
199,Honda,Honda CB Shine,30000,2015,Individual,1st owner,30000,58000.0
200,Suzuki,Suzuki Access 125,25000,2010,Individual,1st owner,1900,58000.0
201,Honda,Honda CB Shine,12000,2009,Individual,1st owner,53000,58000.0
202,Suzuki,Suzuki Access 125 [2007-2016],25000,2012,Individual,1st owner,55000,58314.0
203,Suzuki,Suzuki Access 125 [2007-2016],22000,2010,Individual,2nd owner,43000,58314.0
204,Suzuki,Suzuki Access 125 [2007-2016],16000,2011,Individual,1st owner,40000,58314.0
205,Suzuki,Suzuki Access 125 [2007-2016],30000,2012,Individual,1st owner,23000,58314.0
206,Bajaj,Bajaj Discover 125 ST,17500,2013,Individual,1st owner,38000,58438.0
207,Bajaj,Bajaj Discover 125 ST,25000,2012,Individual,1st owner,76000,58438.0
208,Yamaha,Yamaha Cygnus Ray ZR,56000,2019,Individual,1st owner,3900,58630.0
209,Honda,Honda CBF Stunner,35000,2013,Individual,1st owner,15888,58757.0
210,Honda,Honda CBF Stunner,37000,2014,Individual,1st owner,43000,58757.0
211,Hero,Hero Passion XPro,45000,2018,Individual,1st owner,7000,58900.0
212,Bajaj,Bajaj V12,45000,2017,Individual,1st owner,35000,58906.0
213,Hero,Hero Passion X Pro [2016-2017],38000,2016,Individual,2nd owner,20000,59095.0
214,Hero,Hero Passion X Pro [2016-2017],42000,2016,Individual,1st owner,15500,59095.0
215,Honda,Honda Aviator,14000,2008,Individual,1st owner,66000,59183.0
216,Honda,Honda Aviator,28000,2009,Individual,1st owner,29625,59183.0
217,Honda,Honda Aviator,30000,2014,Individual,1st owner,7000,59183.0
218,Honda,Honda Aviator,25000,2012,Individual,2nd owner,12000,59183.0
219,Honda,Honda Activa 5G,70000,2019,Individual,1st owner,3000,59422.0
220,Honda,Honda Activa 5G,55000,2019,Individual,1st owner,9000,59422.0
221,Honda,Honda Activa 5G,50000,2018,Individual,1st owner,14000,59422.0
222,Honda,Honda Activa 5G,51000,2018,Individual,1st owner,14000,59422.0
223,Honda,Honda Activa 5G,62000,2019,Individual,1st owner,11200,59422.0
224,Honda,Honda Activa 5G,65000,2019,Individual,1st owner,3025,59422.0
225,Hero,Hero Passion XPro,25000,2013,Individual,1st owner,25000,59640.0
226,Yamaha,Yamaha Saluto,60000,2018,Individual,1st owner,13000,59844.0
227,Yamaha,Yamaha Saluto,74000,2019,Individual,1st owner,13000,59844.0
228,Bajaj,Bajaj Discover 125,50000,2016,Individual,1st owner,42000,60122.0
229,Bajaj,Bajaj Discover 125,25000,2011,Individual,1st owner,57000,60122.0
230,Bajaj,Bajaj Discover 125,28000,2013,Individual,1st owner,45000,60122.0
231,Bajaj,Bajaj Discover 125,25000,2016,Individual,1st owner,70350,60122.0
232,Bajaj,Bajaj Discover 125,38000,2018,Individual,1st owner,34000,60122.0
233,Bajaj,Bajaj Discover 125,45000,2016,Individual,1st owner,20000,60122.0
234,Bajaj,Bajaj Discover 125,50000,2018,Individual,1st owner,6000,60122.0
235,Honda,Honda Aviator,57000,2018,Individual,1st owner,6465,61118.0
236,Honda,Honda Activa 125 [2016-2017],40000,2017,Individual,1st owner,26000,61545.0
237,Honda,Honda Activa 125 [2016-2017],55000,2018,Individual,1st owner,18000,61545.0
238,Honda,Honda Activa 125 [2016-2017],50000,2017,Individual,1st owner,27000,61545.0
239,Hero,Hero Glamour 125,55000,2017,Individual,1st owner,2500,61600.0
240,Hero,Hero Glamour 125,45000,2018,Individual,1st owner,21000,61600.0
241,Hero,Hero Glamour 125,45000,2017,Individual,1st owner,18000,61600.0
242,Hero,Hero Glamour 125,38000,2016,Dealer,1st owner,5500,61600.0
243,Hero,Hero Glamour 125,40000,2016,Individual,1st owner,15000,61600.0
244,Hero,Hero Glamour 125,40000,2015,Individual,1st owner,71250,61600.0
245,Hero,Hero Glamour 125,25000,2013,Individual,1st owner,50000,61600.0
246,Hero,Hero Glamour 125,15000,2011,Individual,1st owner,75000,61600.0
247,Hero,Hero Glamour 125,54000,2013,Individual,1st owner,17000,61600.0
248,Hero,Hero Glamour 125,50000,2017,Individual,1st owner,8600,61600.0
249,Hero,Hero Glamour 125,35000,2014,Individual,1st owner,450000,61600.0
250,Honda,Honda Activa 125 [2016-2017],42000,2016,Individual,1st owner,30514,61653.0
251,Honda,Honda CB Shine SP,50000,2017,Individual,1st owner,34300,62317.0
252,Yamaha,Yamaha Saluto,38000,2015,Individual,1st owner,15000,63180.0
253,Bajaj,Bajaj Discover 150S,40000,2014,Individual,1st owner,50000,63331.0
254,Bajaj,Bajaj Discover 150S,35000,2015,Individual,1st owner,28000,63331.0
255,Honda,Honda Aviator,41000,2013,Individual,1st owner,36500,63537.0
256,Honda,Honda Aviator,28000,2013,Individual,1st owner,28087,63537.0
257,Bajaj,Bajaj Pulsar 135 LS,40000,2016,Individual,1st owner,13700,64000.0
258,Bajaj,Bajaj Discover 150F,40000,2014,Individual,2nd owner,60855,64071.0
259,Bajaj,Bajaj Discover 150F,30000,2015,Individual,1st owner,12000,64071.0
260,Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,2nd owner,50000,64589.0
261,Bajaj,Bajaj Pulsar 135 LS,56000,2017,Individual,3rd owner,37714,64589.0
262,Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589.0
263,Bajaj,Bajaj Pulsar 135 LS,23000,2010,Individual,1st owner,77000,64589.0
264,Bajaj,Bajaj Pulsar 135 LS,40000,2018,Individual,1st owner,15000,64589.0
265,Bajaj,Bajaj Pulsar 135 LS,24000,2010,Individual,1st owner,45000,64589.0
266,Bajaj,Bajaj Pulsar 135 LS,20000,2010,Individual,1st owner,80000,64589.0
267,Bajaj,Bajaj Pulsar 135 LS,25000,2011,Individual,2nd owner,30000,64589.0
268,Bajaj,Bajaj Pulsar 135 LS,45000,2014,Individual,1st owner,14000,64589.0
269,Bajaj,Bajaj Pulsar 135 LS,20000,2011,Individual,1st owner,60000,64589.0
270,Bajaj,Bajaj Pulsar 135 LS,45000,2017,Individual,1st owner,22000,64589.0
271,Bajaj,Bajaj Pulsar 135 LS,50000,2015,Individual,1st owner,48000,64589.0
272,Honda,Honda CB Shine SP,47000,2017,Individual,1st owner,73000,64750.0
273,Honda,Honda CB Shine SP,50000,2018,Individual,1st owner,37000,64750.0
274,Honda,Honda CB Shine SP,42000,2017,Individual,1st owner,19800,64750.0
275,Honda,Honda CB Shine SP,50000,2016,Individual,1st owner,45000,64750.0
276,Hero,Hero  Ignitor Disc,20000,2015,Individual,2nd owner,24000,65000.0
277,Hero,Hero Ignitor,36000,2016,Individual,1st owner,23000,65599.0
278,Bajaj,Bajaj V15,42000,2016,Individual,1st owner,35000,65626.0
279,Bajaj,Bajaj V15,50000,2017,Individual,1st owner,9000,65626.0
280,Bajaj,Bajaj V15,45000,2015,Individual,1st owner,2700,65626.0
281,Bajaj,Bajaj V15,76000,2018,Individual,1st owner,23000,65626.0
282,Yamaha,Yamaha SZ X,25000,2012,Individual,2nd owner,30000,65800.0
283,Yamaha,Yamaha SZ X,35000,2010,Individual,1st owner,46000,65800.0
284,TVS,TVS Radeon,35000,2017,Individual,1st owner,20000,66492.0
285,Honda,Honda CB Shine SP,41000,2017,Individual,1st owner,33000,66697.0
286,Bajaj,Bajaj V15,40000,2016,Individual,1st owner,45000,67187.0
287,Bajaj,Bajaj V15,42000,2016,Individual,1st owner,19500,67187.0
288,Bajaj,Bajaj V15,40000,2016,Individual,1st owner,34000,67187.0
289,Bajaj,Bajaj V15,45000,2016,Individual,1st owner,36000,67187.0
290,Bajaj,Bajaj V15,70000,2018,Individual,1st owner,15000,67187.0
291,Honda,Honda CB Shine SP,50000,2016,Individual,1st owner,46000,67214.0
292,Honda,Honda CB Shine SP,48000,2015,Individual,1st owner,25000,67469.0
293,Hero,Hero Ignitor,35000,2014,Individual,1st owner,33200,67722.0
294,Hero,Hero Ignitor,30000,2016,Individual,1st owner,18000,67722.0
295,Hero,Hero Achiever 150,29900,2016,Individual,1st owner,55000,69750.0
296,Hero,Hero Achiever 150,38000,2017,Individual,1st owner,26000,69750.0
297,Hero,Hero Achiever 150,65000,2016,Individual,1st owner,29000,69750.0
298,Yamaha,Yamaha SZ RR V 2.0,35000,2015,Individual,1st owner,38000,69983.0
299,Suzuki,Suzuki GS150R,30000,2010,Individual,1st owner,130000,70851.0
300,Suzuki,Suzuki GS150R,27000,2012,Individual,1st owner,14100,70851.0
301,Honda,Honda CB Shine SP,62000,2019,Individual,1st owner,10000,71049.0
302,Hero,Hero Glamour FI,50000,2018,Individual,1st owner,20000,71150.0
303,Hero,Hero Glamour FI,30900,2014,Individual,1st owner,25000,71150.0
304,Hero,Hero Glamour FI,75000,2019,Individual,1st owner,8900,71150.0
305,Honda,Honda CB Unicorn,45000,2010,Individual,1st owner,75000,71681.0
306,Honda,Honda CB Unicorn Dazzler,22000,2011,Individual,1st owner,38350,71757.0
307,Honda,Honda CB Unicorn Dazzler,50000,2010,Individual,1st owner,75000,71757.0
308,Honda,Honda CB Unicorn Dazzler,25000,2011,Individual,1st owner,40000,71757.0
309,Honda,Honda CB Unicorn,38000,2017,Individual,1st owner,38600,72000.0
310,Vespa,Vespa VX 125,45000,2013,Individual,2nd owner,50000,72303.0
311,Hero,Hero Xtreme [2013-2014],45000,2014,Individual,1st owner,56420,72492.0
312,Yamaha,Yamaha SZ-S,50000,2014,Individual,1st owner,20000,72532.0
313,Hero,Hero Xtreme 2014,35000,2013,Individual,1st owner,15000,72973.0
314,Hero,Hero Xtreme 2014,50000,2014,Individual,1st owner,10000,72973.0
315,Honda,Honda CB Trigger,42000,2015,Individual,1st owner,12000,73000.0
316,Honda,Honda CB Trigger,30000,2015,Individual,1st owner,40000,73413.0
317,Bajaj,Bajaj Pulsar 150,65000,2017,Individual,1st owner,5000,74000.0
318,Honda,Honda CB Unicorn 150,50000,2014,Individual,1st owner,32000,74295.0
319,Honda,Honda CB Unicorn 150,50000,2007,Individual,1st owner,46000,74295.0
320,Honda,Honda CB Unicorn 150,70000,2017,Individual,1st owner,18000,74295.0
321,Honda,Honda CB Unicorn 150,40000,2014,Individual,1st owner,77592,74295.0
322,Honda,Honda CB Unicorn 150,75000,2013,Individual,1st owner,54000,74295.0
323,Honda,Honda CB Unicorn 150,50000,2013,Individual,1st owner,17000,74295.0
324,Honda,Honda CB Unicorn 150,50000,2016,Individual,1st owner,27000,74295.0
325,Honda,Honda CB Unicorn 150,55000,2017,Individual,1st owner,12000,74295.0
326,Honda,Honda CB Unicorn 150,60000,2017,Individual,1st owner,12652,74295.0
327,Honda,Honda CB Unicorn 150,30000,2010,Individual,1st owner,69000,74295.0
328,Honda,Honda CB Unicorn 150,45000,2016,Individual,2nd owner,50000,74295.0
329,Honda,Honda CB Unicorn 150,55000,2014,Individual,1st owner,10000,74295.0
330,Honda,Honda CB Unicorn 150,30000,2012,Individual,1st owner,32000,74295.0
331,Honda,Honda CB Unicorn 150,42000,2013,Individual,1st owner,38000,74295.0
332,Bajaj,Bajaj Pulsar 150,25000,2010,Individual,2nd owner,26000,75000.0
333,Bajaj,Bajaj Pulsar 150,20000,2010,Individual,1st owner,60000,75000.0
334,Hero,Hero Hunk,20000,2009,Individual,2nd owner,49000,75000.0
335,Bajaj,Bajaj Pulsar 150,10000,2008,Individual,1st owner,92233,75000.0
336,Bajaj,Bajaj Avenger [2015],35000,2011,Individual,1st owner,30000,75502.0
337,Bajaj,Bajaj Avenger [2015],38000,2014,Individual,2nd owner,28243,75502.0
338,Bajaj,Bajaj Avenger [2015],35000,2012,Individual,1st owner,15000,75502.0
